
Generic Name,Company Name, Contact Info, Presentation, Type of Update,Date of Update, Availability Information, Related Information, Resolved Note, Reason for Shortage, Therapeutic Category, Status, Change Date, Date Discontinued, Initial Posting Date, Generic Name Note, Generic Name Link , Company Info Link, Availability Link, Related Info Link,   Resolved Note Link, Discontinued Note Link
"Amantadine Hydrochloride Capsule","Upsher-Smith Laboratories, LLC","763-315-2000","Amantadine Hydrochloride, Capsule, 100 mg (NDC 0832-1015-50)","New","07/23/2025","","Discontinuation of the manufacture of the drug product","","","Antiviral; Neurology","To Be Discontinued","","07/23/2025","07/23/2025","","","","","","",""
"Amantadine Hydrochloride Tablet","Upsher-Smith Laboratories, LLC","763-315-2000","Amantadine Hydrochloride, Tablet, 100 mg (NDC 0832-0111-00)","New","07/23/2025","","Discontinuation of the manufacture of the drug product","","","Antiviral; Neurology","To Be Discontinued","","07/23/2025","07/23/2025","","","","","","",""
"Amantadine Hydrochloride Tablet","Upsher-Smith Laboratories, LLC","763-315-2000","Amantadine Hydrochloride, Tablet, 100 mg (NDC 0832-0111-03)","New","07/23/2025","","Discontinuation of the manufacture of the drug product","","","Antiviral; Neurology","To Be Discontinued","","07/23/2025","07/23/2025","","","","","","",""
"Amantadine Hydrochloride Tablet","Upsher-Smith Laboratories, LLC","763-315-2000","Amantadine Hydrochloride, Tablet, 100 mg (NDC 0832-0111-50)","New","07/23/2025","","Discontinuation of the manufacture of the drug product","","","Antiviral; Neurology","To Be Discontinued","","07/23/2025","07/23/2025","","","","","","",""
"Ambrisentan Tablet","Apotex Corp.","800-706-5575","Ambrisentan, Tablet, 5 mg (NDC 60505-4552-3)","New","01/14/2025","","","","","Cardiovascular","To Be Discontinued","","01/14/2025","01/14/2025","","","","","","",""
"Ambrisentan Tablet","Apotex Corp.","Tablet","Ambrisentan, Tablet, 10 mg (NDC 60505-4553-3)","New","01/14/2025","","","","","Cardiovascular","To Be Discontinued","","01/14/2025","01/14/2025","","","","","","",""
"Amino Acid Injection","B. Braun Medical Inc.","800-227-2862","TrophAmine 10%, Injection, 0.1 (NDC 0264-1933-10)","Revised","09/16/2025","Available","","","","Gastroenterology","Current","","","12/08/2020","","","","","","",""
"Amino Acid Injection","Baxter Healthcare","888-229-0001","PROSOL 20% SULFITE FREE IN PLASTIC CONTAINER, Injection, 2.76 g/100 mL; 1.96 g/100 mL; 600 mg/100 mL; 1.02 g/100 mL; 2.06 g/100 mL; 1.18 g/100 mL; 1.08 g/100 mL; 1.08 g/100 mL; 1.35 g/100 mL; 760 mg/100 mL; 1 g/100 mL; 1.34 g/100 mL; 1.02 g/100 mL; 980 mg/100 mL; 320 mg/100 mL; 50 mg/100 mL; 1.44 g/100 mL (NDC 0338-0499-06)","Reverified","09/03/2025","Available","","","","Gastroenterology","Current","","","12/08/2020","","","","","","",""
"Amino Acid Injection","Baxter Healthcare","888-229-0001","Travasol, Injection, 2.07 g/100 mL; 1.15 g/100 mL; 1.03 g/100 mL; 480 mg/100 mL; 600 mg/100 mL; 730 mg/100 mL; 580 mg/100 mL; 400 mg/100 mL; 560 mg/100 mL; 680 mg/100 mL; 500 mg/100 mL; 420 mg/100 mL; 180 mg/100 mL; 40 mg/100 mL; 580 mg/100 mL (NDC 0338-0644-03)","Revised","09/03/2025","Limited Availability","Capacity constraint - Recovery in November 2025","","Other","Gastroenterology","Current","","","12/08/2020","","","","","","",""
"Amino Acid Injection","Baxter Healthcare","888-229-0001","Travasol, Injection, 2.07 g/100 mL; 1.15 g/100 mL; 1.03 g/100 mL; 480 mg/100 mL; 600 mg/100 mL; 730 mg/100 mL; 580 mg/100 mL; 400 mg/100 mL; 560 mg/100 mL; 680 mg/100 mL; 500 mg/100 mL; 420 mg/100 mL; 180 mg/100 mL; 40 mg/100 mL; 580 mg/100 mL (NDC 0338-0644-04)","Reverified","09/03/2025","Unavailable","Capacity constraint - Recovery in October 2025","","Other","Gastroenterology","Current","","","12/08/2020","","","","","","",""
"Amino Acid Injection","Baxter Healthcare","888-229-0001","Travasol, Injection, 2.07 g/100 mL; 1.15 g/100 mL; 1.03 g/100 mL; 480 mg/100 mL; 600 mg/100 mL; 730 mg/100 mL; 580 mg/100 mL; 400 mg/100 mL; 560 mg/100 mL; 680 mg/100 mL; 500 mg/100 mL; 420 mg/100 mL; 180 mg/100 mL; 40 mg/100 mL; 580 mg/100 mL (NDC 0338-0644-06)","Reverified","09/03/2025","Available","","","","Gastroenterology","Current","","","12/08/2020","","","","","","",""
"Amino Acid Injection","Baxter Healthcare","888-229-0001","Premasol 10% Sulfite Free in VIAFLEX Plastic Container, Injection, 0.1 (NDC 0338-1130-03)","Reverified","09/03/2025","Available","","","","Gastroenterology","Current","","","12/08/2020","","","","","","",""
"Amino Acid Injection","Baxter Healthcare","888-229-0001","Premasol 10% Sulfite Free in VIAFLEX Plastic Container, Injection, 0.1 (NDC 0338-1130-04)","Reverified","09/03/2025","Available","","","","Gastroenterology","Current","","","12/08/2020","","","","","","",""
"Amino Acid Injection","Baxter Healthcare","888-229-0001","Premasol 10% Sulfite Free in VIAFLEX Plastic Container, Injection, 0.1 (NDC 0338-1130-06)","Reverified","09/03/2025","Available","","","","Gastroenterology","Current","","","12/08/2020","","","","","","",""
"Amino Acid Injection","B. Braun Medical Inc.","800-227-2862","Plenamine, Injection, 0.15 (NDC 0264-4500-05)","Revised","09/16/2025","Available","","","","Gastroenterology","Current","","","12/08/2020","","","","","","",""
"Amino Acid Injection","Baxter Healthcare","888-229-0001","Clinisol 15% Sulfite Free In Plastic Container, Injection, 0.15 (NDC 0338-0502-03)","Reverified","09/03/2025","Available","","","","Gastroenterology","Current","","","12/08/2020","","","","","","",""
"Amino Acid Injection","B. Braun Medical Inc.","800-227-2862","Plenamine, Injection, 0.15 (NDC 0264-4500-00)","Revised","09/16/2025","Available","","","","Gastroenterology","Current","","","12/08/2020","","","","","","",""
"Amino Acid Injection","Otsuka ICU Medical LLC","1-866-829-9025 or ProductAvailability@icumed.com","Aminosyn II 15% In Plastic Container, Injection, 0.15 (NDC 0990-7171-17)","Reverified","09/17/2025","Available","This product is distributed by ICU Medical. For questions regarding this product, please contact ICU Medical.","","","Gastroenterology","Current","","","12/08/2020","","","","","","",""
"Amino Acid Injection","Otsuka ICU Medical LLC","1-866-829-9025 or ProductAvailability@icumed.com","Aminosyn II 10% In Plastic Container, Injection, 0.1 (NDC 0990-7172-17)","Reverified","09/17/2025","Available","This product is distributed by ICU Medical. For questions regarding this product, please contact ICU Medical.","","","Gastroenterology","Current","","","12/08/2020","","","","","","",""
"Amino Acid Injection","Otsuka ICU Medical LLC","1-866-829-9025 or ProductAvailability@icumed.com","Aminosyn-PF 7%, Injection, 0.07 (NDC 0990-4178-03)","Reverified","09/17/2025","Unavailable","Estimated recovery: TBD. This product is distributed by ICU Medical. For questions regarding this product, please contact ICU Medical.","","Shortage of an active ingredient","Gastroenterology","Current","","","12/08/2020","","","","","","",""
"Amino Acid Injection","Otsuka ICU Medical LLC","1-866-829-9025 or ProductAvailability@icumed.com","Aminosyn-PF 10%, Injection, 0.1 (NDC 0990-4179-05)","Reverified","09/17/2025","Unavailable","Estimated recovery: TBD. This product is distributed by ICU Medical. For questions regarding this product, please contact ICU Medical.","","Shortage of an active ingredient","Gastroenterology","Current","","","12/08/2020","","","","","","",""
"Amino Acid Injection","Baxter Healthcare","888-229-0001","Clinisol 15% Sulfite Free In Plastic Container, Injection, 0.15 (NDC 0338-0502-06)","Reverified","09/03/2025","Available","","","","Gastroenterology","Current","","","12/08/2020","","","","","","",""
"Aminocaproic Acid Tablet","ANI Pharmaceuticals","800-434-1121","Tablet, 500 mg (NDC 62559-225-30)","New","11/07/2024","","ANI anticipates ceasing distribution on November 30, 2024.","","","Cardiovascular; Hematology; Other","To Be Discontinued","","11/07/2024","11/07/2024","","","","","","",""
"Amlodipine Besylate; Benazepril Hydrochloride Capsule","Aurobindo Pharma USA","866-850-2876","Amlodipine Besylate; Benazepril Hydrochloride, Capsule, 2.5 mg; 10 mg (NDC 65862-582-01)","New","03/04/2025","","","","","Cardiovascular","To Be Discontinued","","03/04/2025","03/04/2025","","","","","","",""
"Amlodipine Besylate; Benazepril Hydrochloride Capsule","Aurobindo Pharma USA","866-850-2876","Amlodipine Besylate; Benazepril Hydrochloride, Capsule, 5 mg; 10 mg (NDC 65862-583-01)","New","03/04/2025","","","","","Cardiovascular","To Be Discontinued","","03/04/2025","03/04/2025","","","","","","",""
"Amlodipine Besylate; Benazepril Hydrochloride Capsule","Aurobindo Pharma USA","866-850-2876","Amlodipine Besylate; Benazepril Hydrochloride, Capsule, 5 mg; 10 mg (NDC 65862-583-05)","New","03/04/2025","","","","","Cardiovascular","To Be Discontinued","","03/04/2025","03/04/2025","","","","","","",""
"Amlodipine Besylate; Benazepril Hydrochloride Capsule","Aurobindo Pharma USA","866-850-2876","Amlodipine Besylate; Benazepril Hydrochloride, Capsule, 5 mg; 20 mg (NDC 65862-584-01)","New","03/04/2025","","","","","Cardiovascular","To Be Discontinued","","03/04/2025","03/04/2025","","","","","","",""
"Amlodipine Besylate; Benazepril Hydrochloride Capsule","Aurobindo Pharma USA","866-850-2876","Amlodipine Besylate; Benazepril Hydrochloride, Capsule, 5 mg; 20 mg (NDC 65862-584-05)","New","03/04/2025","","","","","Cardiovascular","To Be Discontinued","","03/04/2025","03/04/2025","","","","","","",""
"Amlodipine Besylate; Benazepril Hydrochloride Capsule","Aurobindo Pharma USA","866-850-2876","Amlodipine Besylate; Benazepril Hydrochloride, Capsule, 5 mg; 40 mg (NDC 65862-585-01)","New","03/04/2025","","","","","Cardiovascular","To Be Discontinued","","03/04/2025","03/04/2025","","","","","","",""
"Amlodipine Besylate; Benazepril Hydrochloride Capsule","Aurobindo Pharma USA","866-850-2876","Amlodipine Besylate; Benazepril Hydrochloride, Capsule, 5 mg; 40 mg (NDC 65862-585-05)","New","03/04/2025","","","","","Cardiovascular","To Be Discontinued","","03/04/2025","03/04/2025","","","","","","",""
"Amlodipine Besylate; Benazepril Hydrochloride Capsule","Aurobindo Pharma USA","866-850-2876","Amlodipine Besylate; Benazepril Hydrochloride, Capsule, 10 mg; 20 mg (NDC 65862-586-01)","New","03/04/2025","","","","","Cardiovascular","To Be Discontinued","","03/04/2025","03/04/2025","","","","","","",""
"Amlodipine Besylate; Benazepril Hydrochloride Capsule","Aurobindo Pharma USA","866-850-2876","Amlodipine Besylate; Benazepril Hydrochloride, Capsule, 10 mg; 20 mg (NDC 65862-586-05)","New","03/04/2025","","","","","Cardiovascular","To Be Discontinued","","03/04/2025","03/04/2025","","","","","","",""
"Amlodipine Besylate; Benazepril Hydrochloride Capsule","Aurobindo Pharma USA","866-850-2876","Amlodipine Besylate; Benazepril Hydrochloride, Capsule, 10 mg; 40 mg (NDC 65862-587-01)","New","03/04/2025","","","","","Cardiovascular","To Be Discontinued","","03/04/2025","03/04/2025","","","","","","",""
"Amlodipine Besylate; Benazepril Hydrochloride Capsule","Novartis Pharmaceuticals Corporation","888-669-6682","Lotrel, Capsule, 10 mg; 20 mg (NDC 0078-0364-05)","New","06/24/2025","","Permanent discontinuation in the manufacturing of the drug","","","Cardiovascular","To Be Discontinued","","06/24/2025","06/24/2025","","","","","","",""
"Amlodipine Besylate; Benazepril Hydrochloride Capsule","Novartis Pharmaceuticals Corporation","888-669-6682","Lotrel, Capsule, 10 mg; 40 mg (NDC 0078-0379-05)","New","06/24/2025","","Permanent discontinuation in the manufacturing of the drug","","","Cardiovascular","To Be Discontinued","","06/24/2025","06/24/2025","","","","","","",""
"Amlodipine Besylate; Benazepril Hydrochloride Capsule","Novartis Pharmaceuticals Corporation","888-669-6682","Lotrel, Capsule, 5 mg; 10 mg (NDC 0078-0405-05)","New","06/24/2025","","Permanent discontinuation in the manufacturing of the drug","","","Cardiovascular","To Be Discontinued","","06/24/2025","06/24/2025","","","","","","",""
"Amlodipine Besylate; Benazepril Hydrochloride Capsule","Novartis Pharmaceuticals Corporation","888-669-6682","Lotrel, Capsule, 5 mg; 20 mg (NDC 0078-0406-05)","New","06/24/2025","","Permanent discontinuation in the manufacturing of the drug","","","Cardiovascular","To Be Discontinued","","06/24/2025","06/24/2025","","","","","","",""
"Amlodipine Besylate; Hydrochlorothiazide; Olmesartan Medoxomil Tablet","Torrent Pharma Inc.","908-280-3333","Amlodipine Besylate; Hydrochlorothiazide; Olmesartan Medoxomil, Tablet, 10 mg; 25 mg; 40 mg (NDC 13668-382-05)","New","06/13/2025","","A business decision was made to discontinue manufacture of the product.","","","Cardiovascular","To Be Discontinued","","06/13/2025","06/13/2025","","","","","","",""
"Amlodipine Besylate; Hydrochlorothiazide; Olmesartan Medoxomil Tablet","Torrent Pharma Inc.","908-280-3333","Amlodipine Besylate; Hydrochlorothiazide; Olmesartan Medoxomil, Tablet, 10 mg; 25 mg; 40 mg (NDC 13668-382-30)","New","06/13/2025","","A business decision was made to discontinue manufacture of the product.","","","Cardiovascular","To Be Discontinued","","06/13/2025","06/13/2025","","","","","","",""
"Amlodipine Besylate; Hydrochlorothiazide; Olmesartan Medoxomil Tablet","Torrent Pharma Inc.","908-280-3333","Amlodipine Besylate; Hydrochlorothiazide; Olmesartan Medoxomil, Tablet, 10 mg; 25 mg; 40 mg (NDC 13668-382-90)","New","06/13/2025","","A business decision was made to discontinue manufacture of the product.","","","Cardiovascular","To Be Discontinued","","06/13/2025","06/13/2025","","","","","","",""
"Amlodipine Besylate; Hydrochlorothiazide; Olmesartan Medoxomil Tablet","Torrent Pharma Inc.","908-280-3333","Amlodipine Besylate; Hydrochlorothiazide; Olmesartan Medoxomil, Tablet, 10 mg; 12.5 mg; 40 mg (NDC 13668-383-05)","New","06/13/2025","","A business decision was made to discontinue manufacture of the product.","","","Cardiovascular","To Be Discontinued","","06/13/2025","06/13/2025","","","","","","",""
"Amlodipine Besylate; Hydrochlorothiazide; Olmesartan Medoxomil Tablet","Torrent Pharma Inc.","908-280-3333","Amlodipine Besylate; Hydrochlorothiazide; Olmesartan Medoxomil, Tablet, 10 mg; 12.5 mg; 40 mg (NDC 13668-383-30)","New","06/13/2025","","A business decision was made to discontinue manufacture of the product.","","","Cardiovascular","To Be Discontinued","","06/13/2025","06/13/2025","","","","","","",""
"Amlodipine Besylate; Hydrochlorothiazide; Olmesartan Medoxomil Tablet","Torrent Pharma Inc.","908-280-3333","Amlodipine Besylate; Hydrochlorothiazide; Olmesartan Medoxomil, Tablet, 10 mg; 12.5 mg; 40 mg (NDC 13668-383-90)","New","06/13/2025","","A business decision was made to discontinue manufacture of the product.","","","Cardiovascular","To Be Discontinued","","06/13/2025","06/13/2025","","","","","","",""
"Amlodipine Besylate; Hydrochlorothiazide; Olmesartan Medoxomil Tablet","Torrent Pharma Inc.","908-280-3333","Amlodipine Besylate; Hydrochlorothiazide; Olmesartan Medoxomil, Tablet, 5 mg; 25 mg; 40 mg (NDC 13668-385-05)","New","06/13/2025","","A business decision was made to discontinue manufacture of the product.","","","Cardiovascular","To Be Discontinued","","06/13/2025","06/13/2025","","","","","","",""
"Amlodipine Besylate; Hydrochlorothiazide; Olmesartan Medoxomil Tablet","Torrent Pharma Inc.","908-280-3333","Amlodipine Besylate; Hydrochlorothiazide; Olmesartan Medoxomil, Tablet, 5 mg; 25 mg; 40 mg (NDC 13668-385-30)","New","06/13/2025","","A business decision was made to discontinue manufacture of the product.","","","Cardiovascular","To Be Discontinued","","06/13/2025","06/13/2025","","","","","","",""
"Amlodipine Besylate; Hydrochlorothiazide; Olmesartan Medoxomil Tablet","Torrent Pharma Inc.","908-280-3333","Amlodipine Besylate; Hydrochlorothiazide; Olmesartan Medoxomil, Tablet, 5 mg; 25 mg; 40 mg (NDC 13668-385-90)","New","06/13/2025","","A business decision was made to discontinue manufacture of the product.","","","Cardiovascular","To Be Discontinued","","06/13/2025","06/13/2025","","","","","","",""
"Amlodipine Besylate; Hydrochlorothiazide; Olmesartan Medoxomil Tablet","Torrent Pharma Inc.","908-280-3333","Amlodipine Besylate; Hydrochlorothiazide; Olmesartan Medoxomil, Tablet, 5 mg; 12.5 mg; 40 mg (NDC 13668-386-05)","New","06/13/2025","","A business decision was made to discontinue manufacture of the product.","","","Cardiovascular","To Be Discontinued","","06/13/2025","06/13/2025","","","","","","",""
"Amlodipine Besylate; Hydrochlorothiazide; Olmesartan Medoxomil Tablet","Torrent Pharma Inc.","908-280-3333","Amlodipine Besylate; Hydrochlorothiazide; Olmesartan Medoxomil, Tablet, 5 mg; 12.5 mg; 40 mg (NDC 13668-386-30)","New","06/13/2025","","A business decision was made to discontinue manufacture of the product.","","","Cardiovascular","To Be Discontinued","","06/13/2025","06/13/2025","","","","","","",""
"Amlodipine Besylate; Hydrochlorothiazide; Olmesartan Medoxomil Tablet","Torrent Pharma Inc.","908-280-3333","Amlodipine Besylate; Hydrochlorothiazide; Olmesartan Medoxomil, Tablet, 5 mg; 12.5 mg; 40 mg (NDC 13668-386-90)","New","06/13/2025","","A business decision was made to discontinue manufacture of the product.","","","Cardiovascular","To Be Discontinued","","06/13/2025","06/13/2025","","","","","","",""
"Amlodipine Besylate; Hydrochlorothiazide; Olmesartan Medoxomil Tablet","Torrent Pharma Inc.","908-280-3333","Amlodipine Besylate; Hydrochlorothiazide; Olmesartan Medoxomil, Tablet, 5 mg; 12.5 mg; 20 mg (NDC 13668-397-05)","New","06/13/2025","","A business decision was made to discontinue manufacture of the product.","","","Cardiovascular","To Be Discontinued","","06/13/2025","06/13/2025","","","","","","",""
"Amlodipine Besylate; Hydrochlorothiazide; Olmesartan Medoxomil Tablet","Torrent Pharma Inc.","908-280-3333","Amlodipine Besylate; Hydrochlorothiazide; Olmesartan Medoxomil, Tablet, 5 mg; 12.5 mg; 20 mg (NDC 13668-397-30)","New","06/13/2025","","A business decision was made to discontinue manufacture of the product.","","","Cardiovascular","To Be Discontinued","","06/13/2025","06/13/2025","","","","","","",""
"Amlodipine Besylate; Hydrochlorothiazide; Olmesartan Medoxomil Tablet","Torrent Pharma Inc.","908-280-3333","Amlodipine Besylate; Hydrochlorothiazide; Olmesartan Medoxomil, Tablet, 5 mg; 12.5 mg; 20 mg (NDC 13668-397-90)","New","06/13/2025","","A business decision was made to discontinue manufacture of the product.","","","Cardiovascular","To Be Discontinued","","06/13/2025","06/13/2025","","","","","","",""
"Amoxicillin Powder, For Suspension","Teva Pharmaceuticals USA, Inc.","800-545-8800","Amoxicillin, Powder, For Suspension, 200 mg/5 mL (NDC 0093-4160-73)","Revised","05/02/2025","","","Available","","Anti-Infective; Pediatric","Resolved","05/02/2025","","10/28/2022","","","","","","",""
"Amoxicillin Powder, For Suspension","Teva Pharmaceuticals USA, Inc.","800-545-8800","Amoxicillin, Powder, For Suspension, 200 mg/5 mL (NDC 0093-4160-76)","Revised","05/02/2025","","","Available","","Anti-Infective; Pediatric","Resolved","05/02/2025","","10/28/2022","","","","","","",""
"Amoxicillin Powder, For Suspension","Teva Pharmaceuticals USA, Inc.","800-545-8800","Amoxicillin, Powder, For Suspension, 200 mg/5 mL (NDC 0093-4160-78)","Revised","05/02/2025","","","Available","","Anti-Infective; Pediatric","Resolved","05/02/2025","","10/28/2022","","","","","","",""
"Amoxicillin Powder, For Suspension","Teva Pharmaceuticals USA, Inc.","800-545-8800","Amoxicillin, Powder, For Suspension, 400 mg/5 mL (NDC 0093-4161-73)","Revised","05/02/2025","","","Available","","Anti-Infective","Resolved","05/02/2025","","10/28/2022","","","","","","",""
"Amoxicillin Powder, For Suspension","Teva Pharmaceuticals USA, Inc.","800-545-8800","Amoxicillin, Powder, For Suspension, 400 mg/5 mL (NDC 0093-4161-76)","Revised","05/02/2025","","","Available","","Anti-Infective; Pediatric","Resolved","05/02/2025","","10/28/2022","","","","","","",""
"Amoxicillin Powder, For Suspension","Teva Pharmaceuticals USA, Inc.","800-545-8800","Amoxicillin, Powder, For Suspension, 400 mg/5 mL (NDC 0093-4161-78)","Revised","05/02/2025","","","Available","","Anti-Infective; Pediatric","Resolved","05/02/2025","","10/28/2022","","","","","","",""
"Amoxicillin Powder, For Suspension","Aurobindo Pharma USA","866-850-2876","Amoxicillin, Powder, For Suspension, 125 mg/5 mL (NDC 65862-706-55)","Revised","05/02/2025","","","Available","","Anti-Infective; Pediatric","Resolved","05/02/2025","","10/28/2022","","","","","","",""
"Amoxicillin Powder, For Suspension","Aurobindo Pharma USA","866-850-2876","Amoxicillin, Powder, For Suspension, 125 mg/5 mL (NDC 65862-706-80)","Revised","05/02/2025","","","Available","","Anti-Infective; Pediatric","Resolved","05/02/2025","","10/28/2022","","","","","","",""
"Amoxicillin Powder, For Suspension","Aurobindo Pharma USA","866-850-2876","Amoxicillin, Powder, For Suspension, 200 mg/5 mL (NDC 65862-070-50)","Revised","05/02/2025","","","Available","","Anti-Infective; Pediatric","Resolved","05/02/2025","","10/28/2022","","","","","","",""
"Amoxicillin Powder, For Suspension","Aurobindo Pharma USA","866-850-2876","Amoxicillin, Powder, For Suspension, 200 mg/5 mL (NDC 65862-070-75)","Revised","05/02/2025","","","Available","","Anti-Infective; Pediatric","Resolved","05/02/2025","","10/28/2022","","","","","","",""
"Amoxicillin Powder, For Suspension","Aurobindo Pharma USA","866-850-2876","Amoxicillin, Powder, For Suspension, 250 mg/5 mL (NDC 65862-707-55)","Revised","05/02/2025","","","Available","","Anti-Infective; Pediatric","Resolved","05/02/2025","","10/28/2022","","","","","","",""
